,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
346,16,1,0.001,0.4,0.001,0.5,16,26,0.14606635633450987
347,256,2,1e-06,0.5,0.01,,64,52,0.1795522705850294
348,32,5,1e-06,0.0,0.0001,5.0,256,98,0.14272261952268941
349,64,2,0.001,0.4,0.01,5.0,8,24,0.14457520724489462
350,16,3,1e-06,0.1,1e-05,0.5,16,93,0.14536365319631878
351,16,2,0.0001,0.2,0.01,,64,55,0.14470692169047522
352,64,1,1e-05,0.1,0.0,,16,58,0.1449631545962555
353,128,1,0.01,0.0,0.0001,5.0,64,100,0.14232800563359532
354,256,3,0.0001,0.0,0.001,0.5,64,73,0.14150626155134996
355,256,3,1e-06,0.1,0.0001,0.5,16,100,0.17438361497997046
356,16,3,1e-05,0.1,0.01,2.0,8,61,0.14458549346416907
357,128,2,1e-05,0.2,0.01,,16,100,0.14442138406812918
358,16,1,1e-06,0.0,0.0001,2.0,16,66,0.15032395763713896
359,256,5,0.01,0.1,0.01,1.0,8,33,0.14448133600962984
360,32,3,0.01,0.3,1e-05,0.5,256,23,0.14253883941010226
361,256,3,1e-05,0.2,0.0001,5.0,256,100,0.14065839063686936
362,64,2,0.001,0.5,0.0,5.0,64,100,0.1351988759535847
363,256,3,1e-06,0.1,0.001,1.0,128,100,0.1455376252609561
364,16,3,1e-05,0.3,0.0,,16,83,0.1447644381279398
365,16,3,1e-06,0.1,0.0,2.0,64,88,0.14345417757680906
366,16,3,0.01,0.5,0.0001,5.0,128,20,0.14455643778763536
367,128,2,1e-05,0.1,0.0001,2.0,128,100,0.14142999245842428
368,16,1,1e-05,0.4,0.0,,64,43,0.1436393075681702
369,32,1,1e-06,0.1,0.0,5.0,16,79,0.1480302575172327
370,16,5,0.01,0.4,0.0,2.0,128,41,0.15443070343437368
371,128,2,1e-06,0.3,0.01,1.0,8,34,0.15097912250146667
372,32,3,1e-05,0.0,0.0001,0.5,16,45,0.14466902698741413
373,16,2,0.0001,0.0,0.0001,0.5,128,100,0.13502288914096558
374,256,3,1e-05,0.3,0.0,,8,100,0.14462524067669716
375,16,5,1e-05,0.4,0.001,5.0,16,87,0.1445209746416577
376,16,1,1e-05,0.1,0.0001,0.5,256,86,0.14017550597162015
377,256,3,0.001,0.0,0.001,0.5,16,76,0.14103116861818746
378,16,1,1e-05,0.5,0.01,2.0,128,57,0.14445415983401802
379,128,5,1e-05,0.0,0.0,2.0,256,100,0.14028717326868903
380,128,3,0.0001,0.2,0.0,2.0,256,100,0.14328446228752525
381,128,2,1e-05,0.1,0.0,0.5,8,100,0.14568250159210153
382,128,3,0.001,0.5,0.0,2.0,128,100,0.13741500692656647
383,16,1,0.01,0.1,0.01,5.0,64,19,0.14446265393922325
384,16,2,0.001,0.1,0.0,0.5,64,100,0.17720257868904624
385,64,3,0.001,0.5,1e-05,0.5,8,89,0.13937515799699746
386,128,3,1e-05,0.0,0.001,,128,92,0.14139173167917124
387,16,5,0.001,0.2,0.001,0.5,8,43,0.1455018106218648
