,Unnamed: 0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
48,48,2516,,2024-03-16,,,,"Hagenman, Justin",681393,663795,field_error,hit_into_play,,,,,,Connor Norby reaches on a fielding error by shortstop Nick Sogard.,S,R,R,BAL,BOS,X,6.0,ground_ball,0,0,2024,,,,,,,,0,7,Bot,106.64,155.52,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.9,,0.0,0.0,,55,1,,3,4,3,4,4,3,3,4,,,,0.077,,,,,,,-1,-1,0.354,0.354,27,24,28,24,1,0,,,,,,,,
49,49,2247,,2024-03-16,,,,"Webb, Jacob",656627,657097,strikeout,swinging_strike,,,,,,Mark Kolozsvary strikes out swinging.,S,R,R,BAL,BOS,S,2.0,,1,2,2024,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,0.0,,0.0,0.0,,54,4,,3,4,4,3,4,3,4,3,,,,0.012,,,,,,,-1,1,0.342,0.658,30,28,31,29,1,0,,,,,,,,
50,50,2352,,2024-03-16,,,,"Webb, Jacob",656627,657097,,swinging_strike,,,,,,Mark Kolozsvary strikes out swinging.,S,R,R,BAL,BOS,S,,,1,1,2024,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,54,3,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.342,0.658,30,28,31,29,1,0,,,,,,,,
51,51,2550,,2024-03-16,,,,"Webb, Jacob",656627,657097,,swinging_strike,,,,,,Mark Kolozsvary strikes out swinging.,S,R,R,BAL,BOS,S,,,1,0,2024,,,,,,,,2,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,54,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.342,0.658,30,28,31,29,1,0,,,,,,,,
52,52,2612,,2024-03-16,,,,"Webb, Jacob",656627,657097,,ball,,,,,,Mark Kolozsvary strikes out swinging.,S,R,R,BAL,BOS,B,,,0,0,2024,,,,,,,657193.0,1,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,54,1,,3,4,4,3,4,3,4,3,,,,0.044,,,,,,,-1,1,0.298,0.702,30,28,31,29,1,0,,,,,,,,
53,53,2738,,2024-03-16,,,,"Webb, Jacob",657193,657097,walk,ball,,,,,,Eddy Alvarez walks.,S,L,R,BAL,BOS,B,,,3,0,2024,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,0.7,,0.0,0.0,,53,4,,3,4,4,3,4,3,4,3,,,,-0.026,,,,,,,-1,1,0.324,0.676,30,34,31,34,1,2,,,,,,,,
54,54,2987,,2024-03-16,,,,"Webb, Jacob",657193,657097,,ball,,,,,,Eddy Alvarez walks.,S,L,R,BAL,BOS,B,,,2,0,2024,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,53,3,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.324,0.676,30,34,31,34,1,2,,,,,,,,
55,55,3271,,2024-03-16,,,,"Webb, Jacob",657193,657097,,ball,,,,,,Eddy Alvarez walks.,S,L,R,BAL,BOS,B,,,1,0,2024,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,53,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.324,0.676,30,34,31,34,1,2,,,,,,,,
56,56,3377,,2024-03-16,,,,"Webb, Jacob",657193,657097,,ball,,,,,,Eddy Alvarez walks.,S,L,R,BAL,BOS,B,,,0,0,2024,,,,,,,,1,7,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,,,,,,53,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.324,0.676,30,34,31,34,1,2,,,,,,,,
57,57,3626,,2024-03-16,,,,"Webb, Jacob",663853,657097,field_out,hit_into_play,,,,,,"Romy Gonzalez grounds out, shortstop Errol Robinson to first baseman Anthony Santander.",S,R,R,BAL,BOS,X,6.0,ground_ball,0,0,2024,,,,,,,,0,7,Top,106.04,157.94,,,,,,,,,,,,,,,,,,,747948,668974,623993,681393,665155,642021,663527,669288,682983,,,,0.0,,0.0,0.0,,52,1,,3,4,4,3,4,3,4,3,,,,0.024,,,,,,,-1,1,0.3,0.7,30,27,31,28,1,2,,,,,,,,
