pitcher,CH,CU,EP,FA,FC,FF,FO,FS,KC,KN,SC,SI,SL,ST,SV
628452,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
628708,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,-1
630023,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1
640448,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1
640451,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,1,-1,-1
640455,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,0,0,-1
640462,-1,-1,-1,-1,-1,0,-1,2,-1,-1,-1,2,0,0,-1
640470,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
641149,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
641154,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1
641302,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,0,-1
641312,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
641329,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
641343,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641360,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1
641401,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641482,1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,0,-1
641540,2,-1,-1,-1,1,2,-1,-1,1,-1,-1,1,1,-1,-1
641582,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
641585,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641645,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
641656,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
641703,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1
641712,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1
641726,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
641729,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
641745,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
641755,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
641771,2,-1,-1,-1,1,2,-1,-1,-1,-1,-1,1,1,1,-1
641793,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1
641816,-1,-1,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1
641835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1
641927,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
641941,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,-1
642016,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
642028,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1
642048,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,0,-1
642100,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,-1,-1
642121,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
642133,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
642207,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
642216,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
642232,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1
642239,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
642397,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,0,0,-1
642520,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
642528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
642545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
642546,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
642547,2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
642629,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1,-1
642701,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1
642834,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1
643256,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,1,-1,-1
643338,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
643361,0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
643377,0,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1
643410,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1
643493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
643511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1
646242,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
647315,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
647336,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
650556,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
650633,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1
650644,-1,2,-1,-1,0,1,-1,0,-1,-1,-1,1,1,1,-1
650671,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
650893,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1
650895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
650911,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1
650960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
655889,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
656186,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,-1,-1
